model_name,vocab_size,hidden_dim,group_name,param_name,param_value,batch_size,learning_rate,best_val_loss,best_val_acc_percent,test_acc_percent,status,log_file
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,64,1e-5,0.837400,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_64_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,64,3e-5,0.344500,85.660000,85.820000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_64_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,128,3e-6,0.761400,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_128_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,128,1e-5,0.787000,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_128_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,128,3e-5,0.344600,85.600000,85.890000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_128_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,32,3e-6,0.788400,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_32_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,32,1e-5,0.375200,84.500000,84.910000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_32_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,32,3e-5,0.347700,85.320000,85.620000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_32_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,64,3e-6,0.769300,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_64_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,64,1e-5,0.838600,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_64_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,64,3e-5,0.356800,85.140000,85.560000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_64_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,128,3e-6,0.761500,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_128_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,128,1e-5,0.787400,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_128_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,1,128,3e-5,0.363700,84.720000,85.200000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_1_bs_128_lr_3em5.log
v3125_h16,3125,16,vanilla,none,none,32,3e-6,0.312900,87.180000,87.020000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_32_lr_3em6.log
v3125_h16,3125,16,vanilla,none,none,32,1e-5,0.313000,87.240000,87.020000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_32_lr_1em5.log
v3125_h16,3125,16,vanilla,none,none,32,3e-5,0.313100,87.240000,86.980000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_32_lr_3em5.log
v3125_h16,3125,16,vanilla,none,none,64,3e-6,0.313300,87.200000,87.010000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_64_lr_3em6.log
v3125_h16,3125,16,vanilla,none,none,64,1e-5,0.313300,87.180000,87.010000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_64_lr_1em5.log
v3125_h16,3125,16,vanilla,none,none,64,3e-5,0.313500,87.160000,86.960000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_64_lr_3em5.log
v3125_h16,3125,16,vanilla,none,none,128,3e-6,0.318000,86.940000,86.960000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_128_lr_3em6.log
v3125_h16,3125,16,vanilla,none,none,128,1e-5,0.314000,87.160000,86.940000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_128_lr_1em5.log
v3125_h16,3125,16,vanilla,none,none,128,3e-5,0.314300,87.140000,86.960000,ok,grid_results/final/logs/v3125_h16_vanilla_none_none_bs_128_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,32,3e-6,0.312900,87.180000,87.020000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_32_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,32,1e-5,0.313000,87.240000,87.020000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_32_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,32,3e-5,0.313100,87.240000,86.980000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_32_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,64,3e-6,0.313300,87.200000,87.010000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_64_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,64,1e-5,0.313300,87.180000,87.010000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_64_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,64,3e-5,0.313500,87.160000,86.960000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_64_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,128,3e-6,0.318000,86.940000,86.960000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_128_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,128,1e-5,0.314000,87.160000,86.940000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_128_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-5,128,3e-5,0.314300,87.140000,86.960000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em5_bs_128_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,32,3e-6,0.312900,87.180000,87.020000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_32_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,32,1e-5,0.313000,87.240000,87.020000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_32_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,32,3e-5,0.313100,87.240000,86.980000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_32_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,64,3e-6,0.313300,87.200000,87.010000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_64_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,64,1e-5,0.313300,87.180000,87.010000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_64_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,64,3e-5,0.313500,87.160000,86.960000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_64_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,128,3e-6,0.318000,86.940000,86.960000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_128_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,128,1e-5,0.314000,87.160000,86.940000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_128_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-4,128,3e-5,0.314300,87.140000,86.960000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em4_bs_128_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-3,32,3e-6,0.312900,87.180000,87.020000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em3_bs_32_lr_3em6.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-3,32,1e-5,0.313000,87.240000,87.020000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em3_bs_32_lr_1em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-3,32,3e-5,0.313100,87.240000,86.980000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em3_bs_32_lr_3em5.log
v3125_h16,3125,16,weight_decay,weight_decay,1e-3,64,3e-6,0.313300,87.200000,87.010000,ok,grid_results/final/logs/v3125_h16_weight_decay_weight_decay_1em3_bs_64_lr_3em6.log
