8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
1.00E-04,128,3.00E-04,93.35%,0.352254,,1.00E-04,128,3.00E-04,93.11%,0.341125,,1.00E-04,128,3.00E-04,92.79%,0.318824,,1.00E-04,128,3.00E-04,92.76%,0.279464,,1.00E-04,128,3.00E-04,92.41%,0.255675,,1.00E-04,128,3.00E-04,91.98%,0.237798
1.00E-03,32,3.00E-05,93.25%,0.322294,,1.00E-03,32,3.00E-05,93.16%,0.278055,,1.00E-03,32,3.00E-05,92.76%,0.253085,,1.00E-03,32,3.00E-05,92.56%,0.219236,,1.00E-03,32,3.00E-05,91.80%,0.231800,,1.00E-03,32,3.00E-05,90.29%,0.281517
1.00E-03,32,1.00E-04,93.34%,0.413820,,1.00E-03,32,1.00E-04,93.46%,0.374207,,1.00E-03,32,1.00E-04,93.22%,0.341873,,1.00E-03,32,1.00E-04,93.11%,0.281902,,1.00E-03,32,1.00E-04,92.57%,0.254538,,1.00E-03,32,1.00E-04,91.95%,0.229054
1.00E-03,32,3.00E-04,93.25%,0.506899,,1.00E-03,32,3.00E-04,93.22%,0.467168,,1.00E-03,32,3.00E-04,93.03%,0.479085,,1.00E-03,32,3.00E-04,93.25%,0.402452,,1.00E-03,32,3.00E-04,92.63%,0.353977,,1.00E-03,32,3.00E-04,92.72%,0.263348
1.00E-03,64,3.00E-05,93.17%,0.263871,,1.00E-03,64,3.00E-05,92.73%,0.243481,,1.00E-03,64,3.00E-05,92.54%,0.232124,,1.00E-03,64,3.00E-05,91.98%,0.223535,,1.00E-03,64,3.00E-05,90.33%,0.271390,,1.00E-03,64,3.00E-05,88.12%,0.398710
1.00E-03,64,1.00E-04,93.28%,0.341401,,1.00E-03,64,1.00E-04,93.18%,0.317514,,1.00E-03,64,1.00E-04,92.97%,0.285430,,1.00E-03,64,1.00E-04,92.72%,0.242781,,1.00E-03,64,1.00E-04,92.43%,0.236191,,1.00E-03,64,1.00E-04,91.48%,0.238289
1.00E-03,64,3.00E-04,93.17%,0.407807,,1.00E-03,64,3.00E-04,93.38%,0.389638,,1.00E-03,64,3.00E-04,93.06%,0.375824,,1.00E-03,64,3.00E-04,93.05%,0.322610,,1.00E-03,64,3.00E-04,92.80%,0.279815,,1.00E-03,64,3.00E-04,92.18%,0.245030
1.00E-03,128,3.00E-05,92.80%,0.232949,,1.00E-03,128,3.00E-05,92.69%,0.224823,,1.00E-03,128,3.00E-05,91.95%,0.230454,,1.00E-03,128,3.00E-05,90.69%,0.256897,,1.00E-03,128,3.00E-05,88.37%,0.359153,,1.00E-03,128,3.00E-05,83.21%,0.607099
1.00E-03,128,1.00E-04,93.15%,0.295611,,1.00E-03,128,1.00E-04,92.80%,0.274019,,1.00E-03,128,1.00E-04,92.71%,0.253545,,1.00E-03,128,1.00E-04,92.47%,0.227931,,1.00E-03,128,1.00E-04,91.65%,0.237846,,1.00E-03,128,1.00E-04,90.22%,0.282762
1.00E-03,128,3.00E-04,93.32%,0.351768,,1.00E-03,128,3.00E-04,93.12%,0.341316,,1.00E-03,128,3.00E-04,92.84%,0.317047,,1.00E-03,128,3.00E-04,92.69%,0.280767,,1.00E-03,128,3.00E-04,92.41%,0.255693,,1.00E-03,128,3.00E-04,91.97%,0.237772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,,,,,,Dropout,,,,,,Dropout,,,,,,Dropout,,,,,,Dropout,,,,,,Dropout,,,,
p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss
